x,y,z,intensity,t,reflectivity,ring,ambient,range
-4.6971354,4.8969145,2.3337722,901.0,5176048,31,36,2134,7165
-4.670905,4.92977,2.335702,796.0,5226488,27,36,4283,7171
-4.6800117,5.0005317,2.3553197,334.0,5278208,10,36,1797,7232
19.567806,6.5365076,7.036277,51.0,21200472,15,36,2767,21787
26.883854,7.5345116,9.51199,17.0,21586232,13,36,2942,29485
-27.97414,3.841477,9.263959,31.0,635120,23,37,2818,29707
-27.541733,3.9544055,9.129053,23.0,684360,18,37,2889,29273
-26.509794,4.1388254,8.804223,24.0,782232,19,37,3322,28228
-5.6673245,3.648304,2.2336383,111.0,4104176,4,37,3734,7090
-5.5230584,3.6035218,2.1860793,191.0,4151456,7,37,6533,6937
-5.431878,3.5917199,2.1590362,443.0,4201776,15,37,7861,6850
-5.36158,3.5926971,2.1400747,576.0,4248936,20,37,7412,6789
-5.304841,3.6020277,2.1263976,548.0,4298856,19,37,7649,6745
-5.2434936,3.6075647,2.1108556,509.0,4345336,17,37,8276,6695
-5.176043,3.6081357,2.0928266,573.0,4394696,20,37,8612,6637
-5.1002455,3.601983,2.0713785,618.0,4443496,21,37,8647,6568
-5.037859,3.6044421,2.055215,677.0,4495096,22,37,8929,6516
-4.9817915,3.6107361,2.0415378,738.0,4543776,25,37,8746,6472
-4.9289017,3.6187294,2.029104,792.0,4594136,27,37,8034,6432
-4.850939,3.6074874,2.0064125,947.0,4640616,34,37,8706,6359
-4.8066998,3.6205957,1.9973981,1006.0,4690048,37,37,8494,6330
-4.7700386,3.639064,1.991492,1194.0,4737528,43,37,5622,6311
-4.7498755,3.670008,1.9924246,1188.0,4785888,42,37,2721,6314
-4.7355,3.7055285,1.9958439,1133.0,4835688,39,37,1776,6325
-4.755872,3.7687628,2.0138726,685.0,4882728,21,37,985,6383
-4.7408104,3.8044188,2.017292,590.0,4934248,17,37,899,6394
-4.7277026,3.8418303,2.0216439,638.0,4980968,19,37,957,6408
-4.723853,3.887077,2.0300364,571.0,5033808,17,37,871,6435
-4.705754,3.9208574,2.0325234,489.0,5078528,14,37,677,6443
-4.7048497,3.9692752,2.0424702,393.0,5129488,11,37,725,6475
-4.712921,4.025856,2.0564582,281.0,5176048,7,37,632,6520
-4.675193,4.0435038,2.050863,94.0,5226488,2,37,473,6502
-4.6931896,4.1096926,2.0695136,19.0,5278208,1,37,408,6562
-4.6700177,4.140304,2.070446,13.0,5325688,1,37,415,6565
-4.6848345,4.205078,2.088164,173.0,5373688,4,37,586,6622
-4.6800427,4.252926,2.0974894,1112.0,5420168,42,37,1274,6652
-4.6657476,4.2925043,2.1027737,1126.0,5468008,43,37,1414,6669
-4.669918,4.3495617,2.1164508,982.0,5520608,37,37,1294,6713
-4.654204,4.388569,2.1214242,912.0,5567088,34,37,1416,6729
-4.6588073,4.44724,2.1357229,894.0,5615328,33,37,1469,6775
-4.6601315,4.503489,2.1487782,805.0,5665568,29,37,1428,6817
-4.6752043,4.5738816,2.1683614,785.0,5714048,28,37,1239,6880
-4.674058,4.629241,2.180795,737.0,5761768,27,37,1334,6920
-4.690925,4.7614202,2.2152987,803.0,5859008,30,37,1269,7031
-4.7073503,4.8371224,2.2367468,738.0,5912168,28,37,1547,7100
-4.71907,4.909092,2.2563298,845.0,5961440,33,37,1155,7163
-4.686897,4.935887,2.2553973,801.0,6006720,32,37,3167,7160
-4.646771,4.9541516,2.2507346,860.0,6059080,35,37,3775,7145
-4.6298475,4.997215,2.2572622,1021.0,6108440,43,37,1140,7166
-4.7286873,5.167191,2.3200524,190.0,6152520,6,37,1152,7368
-27.531576,4.0914016,8.757661,20.0,1514672,21,38,3222,29169
-24.624697,4.4354944,7.875597,27.0,1761272,21,38,3514,26221
-22.464876,4.1890507,7.195499,15.0,1810512,13,38,4073,23948
-5.828184,3.5945323,2.1768944,162.0,4737528,8,38,6129,7175
-5.7331944,3.5847118,2.1499658,340.0,4785888,16,38,7446,7085
-5.6562805,3.5850973,2.1296196,427.0,4835688,20,38,7131,7017
-5.594032,3.5939562,2.1146593,440.0,4882728,21,38,7263,6967
-5.531889,3.602187,2.0996988,472.0,4934248,23,38,8023,6917
-5.4467587,3.5945544,2.0760615,502.0,4980968,23,38,7863,6838
-5.364312,3.5876052,2.0533216,567.0,5033808,27,38,8455,6762
-5.3058586,3.5958357,2.0395582,546.0,5078528,26,38,8447,6716
-5.2325597,3.593225,2.0201097,589.0,5129488,27,38,8540,6651
-5.164195,3.5931206,2.0024564,573.0,5176048,26,38,8595,6592
-5.10227,3.5967102,1.9871969,567.0,5226488,25,38,8804,6541
-5.0358377,3.59635,1.970142,560.0,5278208,24,38,8915,6484
-4.9742427,3.598666,1.9548825,647.0,5325688,28,38,8476,6433
-4.9143496,3.6014903,1.9402213,710.0,5373688,31,38,7829,6384
-4.8477144,3.598599,1.9228673,836.0,5420168,36,38,8969,6326
-4.812575,3.6185308,1.9177808,882.0,5468008,39,38,8814,6309
-4.778893,3.639323,1.9132926,1108.0,5520608,51,38,5535,6294
-4.7587395,3.6703248,1.9141903,1063.0,5567088,48,38,3126,6297
-4.742898,3.7047398,1.9168831,981.0,5615328,42,38,1616,6306
-4.7455254,3.7538936,1.9270562,663.0,5665568,27,38,911,6340
-4.725382,3.7853265,1.928253,401.0,5714048,15,38,1052,6344
-4.703549,3.8154516,1.9288515,465.0,5761768,17,38,857,6346
-4.7279844,3.8835971,1.9482999,335.0,5810048,12,38,727,6411
-4.7312145,3.9351046,1.9593706,470.0,5859008,18,38,844,6448
-4.7084403,3.9652896,1.959969,509.0,5912168,19,38,899,6450
-4.69564,4.004009,1.9647564,525.0,5961440,20,38,881,6466
-4.6832643,4.0433435,1.9698428,516.0,6006720,20,38,804,6483
-4.6777673,4.0889544,1.9779215,413.0,6059080,15,38,707,6510
-4.6747446,4.137179,1.9871969,270.0,6108440,10,38,600,6541
-4.6862326,4.198888,2.0027556,133.0,6152520,5,38,475,6593
-4.666742,4.233331,2.0054486,148.0,6205200,5,38,608,6602
-4.6638756,4.28318,2.0153224,998.0,6252600,48,38,1302,6635
-4.654281,4.3273063,2.0225034,916.0,6304280,43,38,1430,6659
-4.65127,4.378014,2.0326765,808.0,6353200,36,38,1420,6693
-4.648502,4.429505,2.0431488,780.0,6398840,36,38,1362,6728
-4.6459627,4.481788,2.05392,765.0,6445200,35,38,1257,6764
-4.6525154,4.543537,2.0688806,718.0,6495480,33,38,1247,6814
-4.6747727,4.6216316,2.0910218,613.0,6546200,27,38,1241,6888
-4.7201595,4.841464,2.1499658,604.0,6693640,28,38,1270,7085
-4.720817,4.9019446,2.1637292,686.0,6741680,35,38,1025,7131
-4.69986,4.9404955,2.1679182,754.0,6789960,39,38,989,7145
-4.653772,4.9525547,2.160737,702.0,6841800,36,38,1869,7121
-4.620699,4.9782195,2.1595402,677.0,6889520,34,38,1506,7117
-4.6294093,5.0493736,2.1777918,318.0,6938840,14,38,715,7178
26.453331,7.3130355,8.635883,40.0,23196456,34,38,4046,28762
-27.122297,4.352278,8.260887,33.0,2394624,27,39,2945,28675
-26.534758,4.425255,8.090681,18.0,2441664,17,39,2871,28082
-25.767078,4.460011,7.865652,41.0,2493504,31,39,3772,27298
-6.161555,3.5910017,2.1670346,160.0,5325688,11,39,6106,7444
-6.042889,3.5717673,2.1334527,338.0,5373688,22,39,7322,7327
-5.984695,3.5871303,2.1208236,381.0,5420168,24,39,6658,7283
-5.9134393,3.593962,2.103602,396.0,5468008,26,39,7234,7223
-5.8325367,3.5940306,2.082936,407.0,5520608,27,39,7925,7151
-5.7347913,3.582595,2.0562427,413.0,5567088,26,39,8197,7058
-5.647124,3.5762415,2.0329936,461.0,5615328,29,39,8098,6977
-5.574269,3.578254,2.014911,445.0,5665568,28,39,7971,6914
-5.4903574,3.5722017,1.9928099,432.0,5714048,27,39,8268,6837
-5.427534,3.5789537,1.9781715,487.0,5761768,30,39,8417,6786
-5.3728037,3.5903876,1.9664035,528.0,5810048,33,39,8615,6745
-5.308616,3.594846,1.9511911,519.0,5859008,32,39,8204,6692
-5.2453685,3.5991945,1.9362657,592.0,5912168,36,39,8038,6640
-5.173613,3.5968938,1.9181831,555.0,5961440,34,39,8131,6577
-5.1154046,3.6032186,1.9049798,628.0,6006720,39,39,8507,6531
-5.043273,3.5989585,1.8866102,543.0,6059080,32,39,8616,6467
-4.991582,3.6085289,1.8757032,565.0,6108440,34,39,8304,6429
-4.9082623,3.5944169,1.853028,688.0,6152520,42,39,7676,6350
-4.8668714,3.610211,1.8458525,768.0,6205200,47,39,9116,6325
-4.8224077,3.6233332,1.8375287,843.0,6252600,53,39,8345,6296
-4.789407,3.6447403,1.8335103,946.0,6304280,59,39,5254,6282
-4.7631574,3.6711376,1.8320752,1026.0,6353200,65,39,3045,6277
-4.742053,3.7014725,1.8326492,924.0,6398840,56,39,1493,6279
-4.750831,3.755428,1.8447044,658.0,6445200,36,39,822,6321
-4.728447,3.7851062,1.8449913,323.0,6495480,16,39,824,6322
-4.734915,3.838157,1.8564724,432.0,6546200,23,39,817,6362
-4.71572,3.8707814,1.8581946,431.0,6593600,23,39,766,6368
-4.706622,3.9118798,1.8639351,470.0,6645560,25,39,856,6388
-4.700864,3.9560935,1.8711108,459.0,6693640,24,39,809,6413
-4.6991167,4.0041084,1.8800086,463.0,6741680,25,39,914,6444
-4.690425,4.0466223,1.8863231,388.0,6789960,20,39,789,6466
-4.672725,4.081623,1.8891934,399.0,6841800,21,39,787,6476
-4.681338,4.1400223,1.9026836,224.0,6889520,11,39,707,6523
-4.6729846,4.183993,1.9095722,125.0,6938840,6,39,459,6547
-4.686992,4.2485895,1.9256457,35.0,6985720,1,39,551,6603
-4.6678967,4.283741,1.928516,753.0,7033720,45,39,1046,6613
-4.653462,4.3233786,1.9333954,914.0,7082960,58,39,1338,6630
-4.65617,4.3793964,1.9454505,670.0,7132480,39,39,1008,6672
-4.6555886,4.4329686,1.9563575,603.0,7184200,34,39,1144,6710
-4.6517634,4.4840403,1.9661164,687.0,7228440,42,39,1256,6744
-4.655032,4.5425854,1.9790326,675.0,7281712,41,39,1318,6789
-4.6666207,4.610085,1.9956801,571.0,7326592,33,39,1257,6847
-4.689754,4.6900816,2.0174942,787.0,7378872,51,39,1317,6923
-4.683116,4.741246,2.0269659,677.0,7426592,42,39,1203,6956
-4.71418,4.831563,2.0527983,553.0,7473872,33,39,1212,7046
-4.7183685,4.8955536,2.0674367,520.0,7523632,32,39,916,7097
-4.698816,4.9355073,2.072029,471.0,7574072,28,39,708,7113
-4.6553106,4.950297,2.0662885,417.0,7621632,24,39,785,7093
-4.629415,4.9836783,2.0682976,398.0,7668872,23,39,671,7100
-4.615598,5.0303316,2.0757604,334.0,7721152,19,39,726,7126
19.711584,6.7895126,6.2769623,14.0,23491656,6,39,1219,21763
20.08744,6.101729,6.3205905,22.0,23785216,8,39,801,21915
20.089611,5.9679875,6.3096833,21.0,23828856,7,39,848,21877
27.229725,7.189319,8.468694,18.0,24073776,18,39,2375,29399
-25.890059,4.353853,7.5338387,49.0,98280,24,40,3944,27304
-21.740158,4.3449574,6.3667703,51.0,344160,16,40,3110,23057
-7.7196493,4.132524,2.5330577,40.0,2689264,2,40,1883,9106
-7.877441,4.2794957,2.592689,110.0,2737104,6,40,3945,9323
-6.4510593,3.5552213,2.1356993,209.0,2786344,7,40,6649,7660
-6.3804636,3.567495,2.119761,472.0,2833424,16,40,7620,7602
-6.3041086,3.5757134,2.1018991,504.0,2880784,18,40,7086,7537
-6.2212305,3.5792906,2.0818388,483.0,2929864,16,40,7564,7464
-6.120284,3.5713153,2.055733,521.0,2979224,18,40,8095,7369
-6.03208,3.56959,2.033749,565.0,3030984,19,40,8030,7289
-5.9424825,3.5659277,2.0112157,606.0,3074624,20,40,8234,7207
-5.86137,3.5663044,1.99143,609.0,3128224,20,40,8583,7135
-5.7878413,3.570369,1.9741178,589.0,3173024,19,40,8485,7072
-5.700632,3.5649915,1.9521339,637.0,3225424,21,40,8422,6992
-5.6299443,3.5689857,1.935646,654.0,3273024,21,40,8278,6932
-5.5610414,3.5732882,1.9197077,690.0,3320064,22,40,7954,6874
-5.4955206,3.5789814,1.9048686,635.0,3370096,20,40,8160,6820
-5.4213176,3.5781748,1.8870068,688.0,3420936,22,40,8480,6755
-5.354523,3.581409,1.871618,640.0,3468496,19,40,8662,6699
-5.273575,3.5742404,1.851283,725.0,3515056,22,40,8643,6625
-5.211139,3.5787454,1.8372682,698.0,3567536,21,40,8319,6574
-5.1527934,3.5853684,1.8246275,695.0,3612336,21,40,8418,6528
-5.099277,3.5947378,1.8136356,739.0,3664576,22,40,8689,6488
-5.0388017,3.5985527,1.8001704,754.0,3714736,23,40,9024,6439
-4.961343,3.5893517,1.7806597,711.0,3763136,21,40,8858,6368
-4.9113197,3.5992472,1.770767,799.0,3810616,24,40,9939,6332
-4.861363,3.608665,1.7608743,892.0,3860776,26,40,6952,6296
-4.8229985,3.6262808,1.7551035,880.0,3907296,26,40,6909,6275
-4.759371,3.624322,1.7402644,1102.0,3954896,35,40,8029,6221
-4.730194,3.6481674,1.7377912,1234.0,4003616,41,40,4973,6212
-4.7077203,3.6771226,1.7377912,1244.0,4054296,40,40,2649,6212
-4.691099,3.7107155,1.7399895,1156.0,4104176,36,40,1332,6220
-4.723744,3.7839496,1.7603246,251.0,4151456,5,40,394,6294
-4.6929293,4.1023445,1.8119867,30.0,4495096,1,40,495,6482
-4.624493,4.0928006,1.7954988,520.0,4543776,13,40,707,6422
-4.628636,4.1474247,1.8067656,683.0,4594136,18,40,725,6463
-4.651498,4.2197084,1.8254519,151.0,4640616,3,40,418,6531
